"","tag_43_1","Freq"
"236","세탁소",1
"237","소독",2
"238","소머리 국밥",3
"239","소변실수",2
"240","소원 탑",2
"241","소유",11
"242","손녀",2
"243","손녀 공부",1
"244","손씻기",1
"245","손자",4
"246","송다은",10
"247","수다",1
"248","수면 양말",2
"249","수면무호흡증",2
"250","수면제",2
"251","수술실",2
"252","수영",3
"253","수저",2
"254","술",2
"255","스웨터",3
"256","시골마을",1
"257","시그널",11
"258","시사",4
"259","시어머니의 눈물",1
"260","식사준비",3
"261","식탁",3
"262","식판",6
"263","신경자극",2
"264","신경절단수술",1
"265","신문",4
"266","신발가게",4
"267","심란함",2
"268","심정지",1
"269","심혈관",1
"270","쌀국수",3
"271","쌍둥이",1
"272","아내의 눈물",8
"273","아내의 치매",3
"274","아들",2
"275","아침식사",3
"276","아침잠",2
"277","아침준비",1
"278","아피오스",3
"279","안나푸르나",2
"280","알림장",1
"281","애완견",2
"282","야쿠르트",1
"283","약속",1
"284","양재웅",11
"285","어머니",1
"286","어음 분별력",2
"287","얼싸안기",2
"288","엄지척",2
"289","여동생",1
"290","여자",11
"291","여행",2
"292","여행준비",2
"293","연애",11
"294","영상편지",1
"295","오름도",2
"296","오영주",10
"297","오토바이",6
"298","오해",1
"299","옷가게",2
"300","옷선물",2
"301","외손자",2
"302","외출",5
"303","외출준비",1
"304","외톨이",2
"305","외할머니",2
"306","외할아버지",2
"307","요리 준비",2
"308","요양원",3
"309","용돈주기",1
"310","우돈타니",2
"311","웃음",3
"312","원",11
"313","위 우회술",2
"314","위장기질종양",1
"315","위장약",1
"316","유급 가출프로젝트",2
"317","유기견",2
"318","유치원생",2
"319","유토피아",2
"320","육아대디",3
"321","육아전쟁",1
"322","육종",1
"323","윤종신",11
"324","음주",2
"325","음주운전",2
"326","응급실",1
"327","이규빈",10
"328","이모부",1
"329","이상민",11
"330","이슈",4
"331","이슬람교",2
"332","인공와우 수술",2
"333","인디언 감자",3
"334","인천 동구",2
"335","인천시 서구",1
"336","인테리어",3
"337","일욕심",3
"338","임현주",13
"339","입마개",2
"340","입양",3
"341","자매",3
"342","자살시도",2
"343","자세 바꿔주기",1
"344","자전거",1
"345","잔디 목걸이",2
"346","잔소리",5
"347","장갑",2
"348","장나들이",2
"349","장보기",2
"350","장사준비",5
"351","장작",3
"352","장천",5
"353","재래시장",2
"354","재활치료",7
"355","저녁식사",2
"356","전극신호",2
"357","전남 여수",2
"358","전셋집",3
"359","전통춤",2
"360","전화통화",5
"361","절제수술",1
"362","점심식사",1
"363","정보",4
"364","정상 등반",2
"365","정원",2
"366","정육점",2
"367","정재호",10
"368","정형외과",3
"369","제주도",2
"370","조발성 치매",3
"371","조카",5
"372","주말",2
"373","주전자",3
"374","중국 아파트",1
"375","중국어 교재",1
"376","중추신경",2
"377","지방간",2
"378","지하철",2
"379","직장동료",2
"380","진돗개",2
"381","진통제",2
"382","질투",5
"383","짐봇다리",3
"384","집안구경",3
"385","집안일",1
"386","짜빈",3
"387","짜장면",2
"388","짜증",5
"389","쩌나",2
"390","쪽파밭",3
"391","쭈라",2
"392","채널 A",67
"393","철로",2
"394","첫눈",2
"395","체중감소",2
"396","체중계",3
"397","초조함",3
"398","촬영거부",1
"399","최시원",2
"400","출산",3
"401","출산 예정",1
"402","충격파 치료",3
"403","치매",2
"404","치킨",2
"405","치투앙",2
"406","친정 뒷바라지",1
"407","친정 아버지",3
"408","친정 엄마",2
"409","친정가족",2
"410","친정부모묘소",3
"411","친정식구",2
"412","친정아빠",2
"413","침대",1
"414","칭찬",2
"415","카레밥",3
"416","카페트",2
"417","캄보디아 며느리",1
"418","캘리포니아",3
"419","커텐",3
"420","커튼",3
"421","커피",5
"422","컨트롤",2
"423","코골이",2
"424","코스모스",2
"425","코코넛",3
"426","콩국수",2
"427","태국음식",2
"428","턱관절 장애",1
"429","텔레비젼 소리",2
"430","통제불능",2
"431","통증",3
"432","통증 신호",2
"433","통증 주사",1
"434","통증조절능력",2
"435","퇴직",1
"436","파김치",2
"437","파인애플 심기",2
"438","판소리 전수 교육관",2
"439","팔찌",2
"440","팥죽",1
"441","펫티켓",4
"442","편의점",1
"443","편지",5
"444","평발",3
"445","폐지수거",3
"446","폐활량",1
"447","포메리안",2
"448","포카라",2
"449","표현력",2
"450","프렌치불독",2
"451","피부이식",2
"452","피아노",1
"453","필리핀 전통배",3
"454","하모니카",1
"455","하트시그널",23
"456","하트시그널1",5
"457","하트시그널2",18
"458","하트시그널시즌2",11
"459","하희라",2
"460","학위",1
"461","한일관",2
"462","함박눈",1
"463","항암제",1
"464","햄",3
"465","허락",1
"466","허리통증",2
"467","혈압계",3
"468","호찌민시",1
"469","호흡근육",1
"470","화장",1
"471","화장품",3
"472","화장품 판매업",1
"473","화해의 여행",2
"474","활동 보조인",1
"475","황재성",2
"476","황제성",2
"477","회사손해",2
"478","효리네민박",2
"479","휠체어",6
"480","희귀병",1
"481","히말라야",2
"482","히잡",3
"483","힌두교",2
